SPILL ID,LAT,LON,SPILL CAUSE,FILE,x,y,start_date,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure,SPILL_TYPE,SPILL_VOL,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,DIAMETER_OF_SEWER
841113,38.80044,-121.29302,Other (specify below),Other,-13502277.223178346,4693126.493443873,2017-09-15 14:00:00,0.05747498944401741,0.1305202692747116,0.13875636458396912,4.891615270393584e-19,0.8991255760192871,287.5596618652344,100188.5546875,Category 3,176.0,VCP,17.0,4.0
840092,37.7711,-122.13554,Root Intrusion,Other,-13596066.120561495,4547140.194102984,2017-09-17 12:26:00,0.17346489429473874,0.23458729684352875,0.2357843667268753,0.0,0.9408981800079346,286.57257080078125,100186.2421875,Category 3,200.0,VCP,,8.0
840160,37.97571607,-122.5129537,Debris from Lateral,Other,-13638079.6214639,4575995.875760975,2017-09-17 14:30:00,0.12036430090665814,0.19875966012477875,0.2025202065706253,0.0,0.9579880237579346,284.49444580078125,100626.2421875,Category 3,2.0, ,,
840096,34.08155,-117.64515,Grease Deposition (FOG),Other,-13096198.192298288,4039757.46205288,2017-09-17 17:46:00,0.06684727966785431,0.13187772035598755,0.13674035668373108,3.549757821019739e-09,0.9365645051002502,294.6679992675781,94395.5078125,Category 3,45.0,VCP,,8.0
840181,37.77509000000001,-122.21838,Grease Deposition (FOG),Other,-13605287.82717881,4547702.113074456,2017-09-17 19:20:00,0.0730280801653862,0.039474617689847946,0.058087028563022614,0.0,0.9446665048599244,300.2965087890625,100586.46875,Category 3,30.0,VCP,,6.0
840631,37.93651,-122.32236,Grease Deposition (FOG),Other,-13616862.827831496,4570460.68361541,2017-09-17 21:25:00,0.15775592625141144,0.227548822760582,0.2286883592605591,0.0,0.9486181139945984,302.0673828125,100411.9609375,Category 3,10.0,VCP,,6.0
840554,37.425652,-122.144039,Debris-General,Other,-13597012.224913748,4498604.429766956,2017-09-18 00:00:00,0.09597279876470566,0.17167219519615173,0.16951484978199005,0.0,0.9457337856292723,290.30419921875,99048.2734375,Category 3,98.0, ,,
841093,39.251618,-120.036494,Root Intrusion,Other,-13362401.38868984,4757778.047624712,2017-09-18 00:00:00,0.10702016204595566,0.16343244910240173,0.16023750603199005,1.3490152568003479e-25,0.9445130825042723,286.52490234375,78872.2734375,Category 3,30.0,clay,48.0,4.0
840122,34.53327,-117.20319,Air Relief Valve (ARV)/Blow-Off Valve (BOV) Failure,Other,-13046999.430147296,4100633.9089985183,2017-09-18 00:00:00,0.03644826263189317,0.07584699988365172,0.08104439079761505,0.0,0.9193665981292723,298.00439453125,90224.2734375,Category 2,9700.0,PVC,1.0,2.0
841200,38.60079722,-121.29964440000002,Root intrusion,Other,-13503014.64801316,4664649.450115449,2017-09-18 06:00:00,0.06806036084890366,0.1461103856563568,0.15821586549282074,0.0,0.8906488418579102,289.40985107421875,100630.6953125,Category 3,3.0, ,,
840025,34.07996,-118.42167,Debris from Lateral,Other,-13182640.00328908,4039543.760526145,2017-09-18 09:10:00,0.10823338478803636,0.1707337200641632,0.1729404628276825,0.0,0.943184494972229,287.05548095703125,99389.1171875,Category 3,120.0,VCP,55.0,8.0
841152,38.09958,-122.2527,Root Intrusion,Other,-13609108.312102836,4593502.693672823,2017-09-18 10:12:00,0.14873021841049194,0.2230408489704132,0.2284824550151825,0.0,0.939034104347229,287.35821533203125,99933.1171875,Category 3,100.0, ,,
