SPILL ID,LAT,LON,SPILL CAUSE,FILE,x,y,start_date,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure,SPILL_TYPE,SPILL_VOL,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,DIAMETER_OF_SEWER
831500,38.93377,-122.63074,Flow Exceeded Capacity (Separate CS Only),Rain,-13651191.532402325,4712189.12859771,2017-01-08 10:30:00,0.3595201075077057,0.3714839816093445,0.3565627634525299,2.232193946838379e-05,0.9621368646621704,273.1712646484375,95461.546875,Category 1,46950, ,,8.0
856719,38.28269,-122.6653,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13655038.73400414,4619437.75928768,2019-02-26 10:45:00,0.5019378662109375,0.5169254541397095,0.4955443739891052,0.0006780624389648438,0.9726258516311646,283.9166564941406,99609.0,Category 1,30, ,,
856704,38.49266,-123.01388,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13693842.48210486,4649257.836073465,2019-02-26 10:30:00,0.4379730522632599,0.4456363916397095,0.4281615614891052,0.0007729530334472656,0.9733582735061646,284.0865783691406,99257.0,Category 1,483000, ,,
856231,34.26267,-116.82922,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13005369.280175332,4064126.958405195,2019-02-14 08:30:00,0.1825433224439621,0.16558784246444702,0.16682398319244385,8.693337440490723e-05,0.8947570323944092,278.1703491210937,83198.2578125,Category 1,24300,Clay,30.0,20.0
856538,38.77233,-122.564152,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13643778.990149384,4689112.069088068,2019-02-26 09:00:00,0.4301605522632599,0.4292789697647095,0.4140014052391052,0.0006928443908691406,0.9701844453811646,282.0958557128906,95729.0,Category 2,353100, ,,
831528,37.95033,-122.35715,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13620735.632916192,4572411.481985178,2017-01-08 10:05:00,0.4043199121952057,0.3919917941093445,0.3953811228275299,4.0277838706970215e-05,0.9609161615371704,276.6282958984375,100525.546875,Category 1,20720,VCP,76.0,8.0
831113,35.23363,-119.28369,Other (specify below),Rain,-13278599.6307427,4195676.027634368,2016-12-24 02:00:00,0.2722150981426239,0.1949075609445572,0.1953413188457489,0.0011844635009765625,0.9172658920288086,284.5904541015625,97587.7578125,Category 2,11500, ,,
856738,38.69754,-121.45767,Other (specify below),Rain,-13520605.97733746,4678438.911734881,2019-02-26 14:22:00,0.4005497694015503,0.358505517244339,0.3686425983905792,0.0008053779602050781,0.9689636826515198,281.7992248535156,100705.96875,Category 1,22845, ,,
856173,38.32054,-122.48669,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13635155.959753554,4624806.851497029,2019-02-14 00:47:00,0.3835007250308991,0.3764216601848602,0.36730045080184937,0.0004057884216308594,0.969740867614746,283.400634765625,97742.5546875,Category 1,61142, ,,
831545,39.211858,-121.068042,Other (specify below),Rain,-13477232.78677866,4752064.006941879,2017-01-08 12:10:00,0.3855002224445343,0.373811811208725,0.39495703577995295,0.00018870830535888672,0.9657938480377196,275.40567016601557,93663.1171875,Category 1,40, ,,
856174,38.32222,-122.48874,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13635384.164709682,4625045.227541668,2019-02-14 01:41:00,0.3835007250308991,0.3764216601848602,0.36730045080184937,0.0004057884216308594,0.969740867614746,283.400634765625,97742.5546875,Category 1,48281, ,,
856177,33.130839,-117.220556,Other (specify below),Rain,-13048932.604424408,3912683.5573028713,2019-02-14 14:02:00,0.3651570081710816,0.224461168050766,0.2337821424007416,0.0008738040924072268,0.9591774344444276,285.5817565917969,98602.875,Category 1,2400, ,,
831542,38.33827,-122.50753,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13637475.857941687,4627322.848678243,2017-01-08 08:50:00,0.32166987657546997,0.3320968747138977,0.3298723995685577,9.015202522277832e-05,0.963362753391266,275.30062866210943,99166.984375,Category 1,3300, ,,
856147,38.31705,-122.2809,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13612247.521743204,4624311.671299093,2019-02-14 03:09:00,0.4493786096572876,0.4226039052009583,0.4068800508975983,0.0010695457458496094,0.9697245359420776,282.2030334472656,98483.8046875,Category 1,1531,RCP,54.0,27.0
832580,39.906667,-121.528889,Debris from Lateral,Rain,-13528534.040152267,4852388.637210537,2017-01-08 09:00:00,0.3324204981327057,0.2921382784843445,0.3758498728275299,1.71661376953125e-05,0.9599395990371704,271.4915771484375,89685.546875,Category 2,1500,clay,75.0,8.0
831540,38.30595,-122.4777,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13634155.197531322,4622736.9013122665,2017-01-08 09:00:00,0.3529283106327057,0.3545162081718445,0.3496047556400299,0.00012373924255371094,0.9621368646621704,275.2044677734375,99773.546875,Category 1,18000, ,,
831673,38.81229,-122.56121,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13643451.488207467,4694819.2812624965,2017-01-08 09:11:00,0.3510972559452057,0.3545162081718445,0.3427688181400299,4.461407661437988e-05,0.9616485834121704,273.2103271484375,95957.546875,Category 1,6380, ,,
856240,38.772331,-122.564166,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13643780.548622252,4689112.211871182,2019-02-14 12:00:00,0.4203327894210816,0.436375230550766,0.4165214002132416,0.00020796060562133792,0.9689430594444276,283.1344909667969,94018.875,Category 2,158400, ,,
832472,38.237453,-121.505831,Other (specify below),Rain,-13525967.235333554,4613024.4783527935,2017-01-08 11:32:00,0.3333970606327057,0.3325435519218445,0.3271438181400299,0.00019359588623046875,0.9511505365371704,277.4036865234375,101565.546875,Category 2,2964166, ,,
831530,37.91678,-122.32687,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13617364.878734974,4567676.279170753,2017-01-08 09:15:00,0.4043199121952057,0.3919917941093445,0.3953811228275299,4.0277838706970215e-05,0.9609161615371704,276.6282958984375,100525.546875,Category 1,18600,Liner,2.0,8.0
856139,37.54496,-122.303,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13614707.682489738,4515341.86277186,2019-02-14 11:30:00,0.3973416090011597,0.3881601393222809,0.3615918159484863,0.00027954578399658203,0.970912516117096,287.4783020019531,98537.734375,Category 1,48000,concrete,73.0,24.0
856454,40.50309,-124.09373,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13814050.834237974,4939321.54618384,2019-02-25 07:50:00,0.4609353542327881,0.4747993052005768,0.4573022127151489,0.00021702051162719732,0.9748233556747437,280.3272705078125,97495.0703125,Category 1,28000,Plastic and AC,50.0,12.0
856470,40.79284000000001,-124.17504,Pipe Structural Problem/Failure,Rain,-13823102.222034374,4981833.463496308,2019-02-25 09:05:00,0.27160581946372986,0.16195125877857208,0.2110043466091156,0.0005311965942382811,0.9757999181747437,281.32199096679693,99310.8515625,Category 1,3675,VCP,60.0,14.0
831546,37.93616,-122.52847,Operator Error,Rain,-13639806.888078894,4570411.283209667,2017-01-08 10:45:00,0.3639146387577057,0.3761226534843445,0.3563186228275299,3.573298454284668e-05,0.9633575677871704,276.7923583984375,100541.546875,Category 1,6750, ,,
856236,33.68909,-117.35472,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13063867.672587195,3987130.420855804,2019-02-14 06:08:00,0.2539544701576233,0.23559516668319705,0.22578394412994385,0.0004737377166748047,0.9499328136444092,282.69818115234375,95754.2578125,Category 1,11650, ,,
856099,37.2255,-121.96213,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13576762.207663033,4470585.36280729,2019-02-14 06:15:00,0.3987298607826233,0.384581983089447,0.3616482019424439,0.0001932382583618164,0.9716613292694092,285.80999755859375,96618.2578125,Category 1,31966,VCP,64.0,6.0
856618,41.75373,-124.19122,Flow Exceeded Capacity (Separate CS Only),Rain,-13824903.371395413,5124160.480481038,2019-02-25 11:05:00,0.4927972257137298,0.4995977580547333,0.4910336434841156,0.00032138824462890625,0.9762881994247437,279.28854370117193,98438.8515625,Category 1,4850,clay,70.0,15.0
856101,34.26685,-116.94125,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13017840.402728906,4064689.9911777163,2019-02-14 07:30:00,0.1893182247877121,0.10650581121444702,0.12470972537994385,0.00012052059173583984,0.9199035167694092,278.8314819335937,83858.2578125,Category 1,5300, ,,
